date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,TSLA,AVGO,WMT,JPM,XOM,V,JNJ,MA,COST
2025-01-24,221.5696258544922,440.8082580566406,142.5810089111328,234.85000610351563,645.45465087890625,199.428955078125,406.5799865722656,242.50860595703125,93.86156463623047,259.5186767578125,104.11923217773438,327.196533203125,142.459228515625,530.4273681640625,933.52667236328125
2025-01-27,228.61117553710938,431.3778076171875,118.38761901855469,235.4199981689453,657.80572509765625,191.06170654296875,397.1499938964844,200.31983947753906,96.47652435302734,260.50836181640625,105.56611633300781,331.4970703125,148.3489227294922,544.49615478515625,958.92926025390625
2025-01-28,236.9655303955078,443.9252624511719,128.95472717285156,238.14999389648438,672.21026611328125,194.53811645507813,398.0899963378906,205.5030059814453,96.36756896972656,261.7724609375,103.52513122558594,331.4376220703125,145.91348266601563,544.2177734375,952.392333984375
2025-01-29,238.05955505371094,439.09088134765625,123.66616821289063,237.07000732421875,674.363525390625,194.6476593017578,389.1000061035156,204.50204467773438,96.57556915283203,261.2236633300781,104.12879943847656,332.82489013671875,146.66061401367188,545.64947509765625,957.70733642578125
2025-01-30,236.2991485595703,411.95111083984375,124.61592102050781,234.63999938964844,684.84051513671875,200.08636474609375,400.2799987792969,213.7286834716797,97.71467590332031,262.8405456542969,104.99119567871094,339.9296569824219,148.3295135498047,562.7607421875,972.5992431640625
2025-01-31,234.71780395507813,412.0206298828125,120.03717041015625,237.67999267578125,687.01361083984375,203.22409057617188,404.6000061035156,219.28843688964844,97.22932434082031,261.92919921875,102.3656997680664,338.6910095214844,147.6309051513672,552.24139404296875,973.4635009765625
2025-02-03,226.77122497558594,407.9109802246094,116.62810516357422,237.4199981689453,695.26763916015625,200.44496154785156,383.67999267578125,215.78013610839844,98.59622955322266,261.4490966796875,102.61482238769531,342.67449951171875,147.35923767089844,560.7125244140625,999.2435302734375
2025-02-04,231.5352020263672,409.35028076171875,118.6175537109375,242.05999755859375,701.9764404296875,205.57489013671875,392.2099914550781,220.4380340576172,99.8145751953125,262.5563659667969,105.36489868164063,342.01055908203125,148.9311065673828,555.9002685546875,1015.1685791015625
2025-02-05,231.2069854736328,410.2635803222656,124.79586791992188,236.1699981689453,702.65435791015625,190.58358764648438,378.1700134277344,229.92233276367188,101.4885482788086,264.9963073730469,105.28823852539063,346.2615661621094,150.095458984375,563.0390625,1036.0509033203125
2025-02-06,231.95291137695313,412.7750244140625,128.6448211669922,238.8300018310547,709.75189208984375,190.8525390625,374.32000732421875,229.28807067871094,101.8748550415039,271.3363037109375,103.89883422851563,344.3193664550781,148.95053100585938,563.904052734375,1044.1077880859375
