datetime,symbol,price_type,price
2026-01-01 20:58:45.109,EURUSD,BID,1.17378
2026-01-01 20:58:48.111,EURUSD,BID,1.17379
2026-01-01 20:58:54.122,EURUSD,BID,1.17375
2026-01-01 20:59:42.209,EURUSD,BID,1.17442
2026-01-01 20:59:58.229,EURUSD,BID,1.17433
2026-01-01 21:00:00.241,EURUSD,BID,1.17432
2026-01-01 21:00:05.255,EURUSD,BID,1.17433
2026-01-01 21:00:12.263,EURUSD,BID,1.17434
2026-01-01 21:00:15.271,EURUSD,BID,1.17443
2026-01-01 21:00:33.305,EURUSD,BID,1.17443
2026-01-01 21:00:41.317,EURUSD,BID,1.17444
2026-01-01 21:00:46.325,EURUSD,BID,1.17434
2026-01-01 21:00:53.339,EURUSD,BID,1.17422
2026-01-01 21:01:06.360,EURUSD,BID,1.17423
2026-01-01 21:01:08.361,EURUSD,BID,1.17424
2026-01-01 21:01:09.363,EURUSD,BID,1.17425
2026-01-01 21:01:11.361,EURUSD,BID,1.17426
2026-01-01 21:01:12.365,EURUSD,BID,1.17427
2026-01-01 21:01:14.365,EURUSD,BID,1.17428
2026-01-01 21:01:15.368,EURUSD,BID,1.17429
2026-01-01 21:01:17.369,EURUSD,BID,1.1743
2026-01-01 21:01:18.374,EURUSD,BID,1.17431
2026-01-01 21:01:19.376,EURUSD,BID,1.17432
2026-01-01 21:01:21.378,EURUSD,BID,1.17433
2026-01-01 21:01:22.381,EURUSD,BID,1.17434
2026-01-01 21:01:54.465,EURUSD,BID,1.17438
2026-01-01 21:02:04.482,EURUSD,BID,1.17434
2026-01-01 21:03:44.640,EURUSD,BID,1.1743
2026-01-01 21:04:04.673,EURUSD,BID,1.17434
2026-01-01 21:04:24.700,EURUSD,BID,1.17438
2026-01-01 21:04:34.721,EURUSD,BID,1.17434
2026-01-01 21:04:44.729,EURUSD,BID,1.17438
2026-01-01 21:04:54.745,EURUSD,BID,1.17434
2026-01-01 21:07:04.982,EURUSD,BID,1.17462
2026-01-01 21:07:14.999,EURUSD,BID,1.17462
2026-01-01 21:07:25.018,EURUSD,BID,1.17462
2026-01-01 21:08:54.176,EURUSD,BID,1.17462
2026-01-01 21:09:04.191,EURUSD,BID,1.17462
2026-01-01 21:09:14.204,EURUSD,BID,1.17462
2026-01-01 21:09:24.225,EURUSD,BID,1.17462
2026-01-01 21:09:44.262,EURUSD,BID,1.17462
2026-01-01 21:09:54.275,EURUSD,BID,1.17462
2026-01-01 21:11:34.506,EURUSD,BID,1.17462
2026-01-01 21:11:54.533,EURUSD,BID,1.17462
2026-01-01 21:14:24.784,EURUSD,BID,1.17462
2026-01-01 21:14:44.815,EURUSD,BID,1.17462
2026-01-01 21:15:14.869,EURUSD,BID,1.17462
2026-01-01 21:15:24.884,EURUSD,BID,1.17462
2026-01-01 21:15:34.910,EURUSD,BID,1.17462
2026-01-01 21:15:54.943,EURUSD,BID,1.17462
2026-01-01 21:16:24.989,EURUSD,BID,1.17462
2026-01-01 21:16:35.002,EURUSD,BID,1.17462
2026-01-01 21:16:45.015,EURUSD,BID,1.17462
2026-01-01 21:17:25.090,EURUSD,BID,1.17462
2026-01-01 21:17:35.107,EURUSD,BID,1.17462
2026-01-01 21:17:45.125,EURUSD,BID,1.17462
2026-01-01 21:18:04.158,EURUSD,BID,1.17462
2026-01-01 21:18:14.180,EURUSD,BID,1.17462
2026-01-01 21:19:04.251,EURUSD,BID,1.17461
2026-01-01 21:19:24.285,EURUSD,BID,1.17461
2026-01-01 21:20:04.337,EURUSD,BID,1.17461
2026-01-01 21:20:14.358,EURUSD,BID,1.17461
2026-01-01 21:21:54.529,EURUSD,BID,1.17461
2026-01-01 21:22:14.558,EURUSD,BID,1.17461
2026-01-01 21:23:14.656,EURUSD,BID,1.1743
2026-01-01 21:23:24.670,EURUSD,BID,1.17434
2026-01-01 21:26:01.005,EURUSD,BID,1.17436
2026-01-01 21:27:54.217,EURUSD,BID,1.1743
2026-01-01 21:28:04.227,EURUSD,BID,1.17436
2026-01-01 21:28:34.290,EURUSD,BID,1.17441
2026-01-01 21:28:44.310,EURUSD,BID,1.17436
2026-01-01 21:30:48.541,EURUSD,BID,1.17436
